symbol,company_name,sector,board,delisted,delisting_date,listing_date,isin,market_cap,shares_outstanding,par_value,base_ticker,share_type,yahoo_ticker
ABAN.N0000,ABANS ELECTRICALS PLC,Unknown,Main,False,,01/JAN/1984,LK0001N00004,6155669520.0,5110560.0,1.0,ABAN,Voting,ABAN.CM
AFSL.N0000,ABANS FINANCE PLC,Financials,Main,False,,27/JUN/2011,LK0388N00005,7332470514.5,73693171.0,1.0,AFSL,Voting,AFSL.CM
AEL.N0000,ACCESS ENGINEERING PLC,Industrials,Main,False,,27/MAR/2012,LK0409N00009,79900000000.0,1000000000.0,1.0,AEL,Voting,AEL.CM
ACL.N0000,ACL CABLES PLC,Materials,Main,False,,01/JAN/1976,LK0011N00003,74028588480.0,718724160.0,1.0,ACL,Voting,ACL.CM
APLA.N0000,ACL PLASTICS PLC,Unknown,Main,False,,05/APR/1995,LK0238N00002,6929562500.0,42125000.0,1.0,APLA,Voting,APLA.CM
ACME.N0000,ACME PRINTING & PACKAGING PLC,Industrials,Main,False,,01/JAN/1956,LK0002N00002,883500000.0,95000000.0,1.0,ACME,Voting,ACME.CM
AGAL.N0000,AGALAWATTE  PLANTATIONS  PLC,Consumer Staples,Main,False,,22/JAN/1996,LK0248N00001,9093750000.0,156250000.0,1.0,AGAL,Voting,AGAL.CM
AGST.N0000,AGSTAR PLC,Unknown,Main,False,,16/FEB/2012,LK0408N00001,5166442008.0,461289465.0,1.0,AGST,Voting,AGST.CM
AGST.X0000,AGSTAR PLC,Unknown,Main,False,,16/FEB/2012,LK0408X00000,306663259.5,26210535.0,1.0,AGST,Non-Voting,AGST.CM
AHUN.N0000,AITKEN SPENCE HOTEL HOLDINGS PLC,Consumer Discretionary,Main,False,,01/JAN/1980,LK0003N00000,38000771130.0,336290010.0,1.0,AHUN,Voting,AHUN.CM
SPEN.N0000,AITKEN SPENCE PLC,Unknown,Main,False,,01/JAN/1983,LK0004N00008,64350373132.5,405996045.0,1.0,SPEN,Voting,SPEN.CM
ALLI.N0000,ALLIANCE FINANCE COMPANY PLC,Financials,Main,False,,01/JAN/1959,LK0005N00005,12096864000.0,33696000.0,1.0,ALLI,Voting,ALLI.CM
AFS.N0000,ALPHA FIRE SERVICES PLC,Unknown,Main,False,,,LK0486N00007,1525590000.0,37950000.0,1.0,AFS,Voting,AFS.CM
ALUM.N0000,ALUMEX PLC,Unknown,Main,False,,31/MAR/2014,LK0427N00001,11134065648.0,598605680.0,1.0,ALUM,Voting,ALUM.CM
ABL.N0000,AMANA BANK PLC,Financials,Main,False,,29/JAN/2014,LK0424N00008,16536684180.0,551222806.0,1.0,ABL,Voting,ABL.CM
ATL.N0000,AMANA TAKAFUL PLC,Unknown,Main,False,,27/NOV/2006,LK0354N00007,5895078328.3,246655997.0,1.0,ATL,Voting,ATL.CM
ATLL.N0000,AMANA TAKAFUL LIFE PLC,Unknown,Main,False,,18/AUG/2016,LK0448N00007,1745000000.0,50000000.0,1.0,ATLL,Voting,ATLL.CM
TAP.N0000,AMBEON CAPITAL PLC,Financials,Main,False,,17/MAY/2012,LK0411N00005,39462820511.8,1022352863.0,1.0,TAP,Voting,TAP.CM
GREG.N0000,AMBEON HOLDINGS PLC,Financials,Main,False,,01/JAN/1970,LK0168N00001,54690276314.5,356869666.0,1.0,GREG,Voting,GREG.CM
AMCL.N0000,AMW CAPITAL LEASING AND FINANCE PLC,Financials,Main,False,,08/JUN/2011,LK0384N00004,448000000.0,20000000.0,1.0,AMCL,Voting,AMCL.CM
ALHP.N0000,ANILANA HOTELS AND PROPERTIES PLC,Real Estate,Main,False,,17/JUL/2013,LK0422N00002,,1281320814.0,1.0,ALHP,Voting,ALHP.CM
AINS.N0000,ARPICO INSURANCE PLC,Unknown,Main,False,,16/JAN/2015,LK0434N00007,2437278977.6,66230407.0,1.0,AINS,Voting,AINS.CM
AAF.N0000,ASIA ASSET FINANCE PLC,Financials,Main,False,,12/JAN/2012,LK0406N00005,7352375553.6,124195533.0,1.0,AAF,Voting,AAF.CM
ACAP.N0000,ASIA CAPITAL PLC,Financials,Main,False,,22/SEP/1994,LK0224N00002,,131329995.0,1.0,ACAP,Voting,ACAP.CM
ASIY.N0000,ASIA SIYAKA COMMODITIES LIMITED,Unknown,Main,False,,12/SEP/2012,LK0419N00008,4680000000.0,260000000.0,1.0,ASIY,Voting,ASIY.CM
AHPL.N0000,ASIAN HOTELS AND PROPERTIES PLC,Real Estate,Main,False,,30/JAN/2004,LK0341N00004,25238192100.0,442775300.0,1.0,AHPL,Voting,AHPL.CM
AMSL.N0000,ASIRI SURGICAL HOSPITAL PLC,Health Care,Main,False,,12/NOV/2004,LK0344N00008,7979708929.5,528457545.0,1.0,AMSL,Voting,AMSL.CM
ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,Health Care,Main,False,,01/JUN/1986,LK0010N00005,38107375466.0,1137533596.0,1.0,ASIR,Voting,ASIR.CM
AMF.N0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,Industrials,Main,False,,23/JUN/2011,LK0387N00007,7139617884.0,113327268.0,1.0,AMF,Voting,AMF.CM
AGPL.N0000,Agarapatana Plantations PLC,Consumer Staples,Main,False,,04/SEP/2023,LK0490N00009,8800000000.0,500000000.0,1.0,AGPL,Voting,AGPL.CM
BPPL.N0000,B P P L HOLDINGS PLC,Financials,Main,False,,04/APR/2017,LK0451N00001,5553864761.7,306843357.0,1.0,BPPL,Voting,BPPL.CM
BFL.N0000,BAIRAHA FARMS PLC,Unknown,Main,False,,05/DEC/1994,LK0229N00001,7506400000.0,88000000.0,1.0,BFL,Voting,BFL.CM
BALA.N0000,BALANGODA  PLANTATIONS  PLC,Consumer Staples,Main,False,,03/JUN/1998,LK0286N00001,3195636277.6,47272726.0,1.0,BALA,Voting,BALA.CM
BRR.N0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,Consumer Discretionary,Main,False,,27/MAR/2014,LK0426N00003,1208880000.0,53728000.0,1.0,BRR,Voting,BRR.CM
BERU.N0000,BERUWALA RESORTS PLC,Consumer Discretionary,Main,False,,04/JUL/2012,LK0416N00004,2451905032.5,700544295.0,1.0,BERU,Voting,BERU.CM
BLI.N0000,BIMPUTH LANKA INVESTMENTS PLC,Financials,Main,False,,13/JUN/2011,LK0383N00006,,107733344.0,1.0,BLI,Voting,BLI.CM
BLUE.X0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,Unknown,Main,False,,31/MAR/1992,LK0193X00008,,225976714.0,1.0,BLUE,Non-Voting,BLUE.CM
BLUE.N0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,Unknown,Main,False,,31/MAR/1992,LK0193N00009,,699524300.0,1.0,BLUE,Voting,BLUE.CM
BOGA.N0000,BOGALA GRAPHITE LANKA PLC,Unknown,Main,False,,08/MAY/1992,LK0194N00007,14478834312.0,94632904.0,1.0,BOGA,Voting,BOGA.CM
BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,Consumer Staples,Main,False,,08/DEC/1995,LK0243N00002,6071875000.0,83750000.0,1.0,BOPL,Voting,BOPL.CM
BRWN.N0000,BROWN & COMPANY PLC,Unknown,Main,False,,25/APR/1991,LK0018N00008,38219343750.0,212625000.0,1.0,BRWN,Voting,BRWN.CM
BBH.N0000,BROWNS BEACH HOTELS PLC,Consumer Discretionary,Main,False,,22/FEB/1993,LK0204N00004,,129600000.0,1.0,BBH,Voting,BBH.CM
BIL.N0000,BROWNS INVESTMENTS PLC,Financials,Main,False,,26/JUL/2011,LK0390N00001,93403163490.0,14369717460.0,1.0,BIL,Voting,BIL.CM
BUKI.N0000,BUKIT DARAH PLC,Unknown,Main,False,,01/JAN/1970,LK0019N00006,91417500000.0,102000000.0,1.0,BUKI,Voting,BUKI.CM
COLO.N0000,C M HOLDINGS PLC,Financials,Main,False,,01/JAN/1970,LK0052N00007,8816000000.0,152000000.0,1.0,COLO,Voting,COLO.CM
CTHR.N0000,C T HOLDINGS PLC,Financials,Main,False,,01/JAN/1928,LK0041N00000,128900465920.0,201406978.0,1.0,CTHR,Voting,CTHR.CM
CTLD.N0000,C T LAND DEVELOPMENT PLC,Real Estate,Main,False,,22/MAR/1988,LK0175N00006,3396250000.0,81250000.0,1.0,CTLD,Voting,CTLD.CM
CWM.N0000,C. W. MACKIE PLC,Unknown,Main,False,,09/JAN/1995,LK0232N00005,7575591038.0,179942780.0,1.0,CWM,Voting,CWM.CM
CSLK.N0000,CABLE SOLUTIONS PLC,Materials,Main,False,,14/AUG/2024,LK0494N00001,6589332400.0,470666600.0,1.0,CSLK,Voting,CSLK.CM
CALH.N0000,CAPITAL ALLIANCE HOLDINGS PLC,Financials,Main,False,,30/MAY/2025,LK0504N00007,35432043799.5,2072049345.0,1.0,CALH,Voting,CALH.CM
CALT.N0000,CAPITAL ALLIANCE PLC,Financials,Main,False,,15/DEC/2021,LK0477N00006,17393264275.2,329417884.0,1.0,CALT,Voting,CALT.CM
CARG.N0000,CARGILLS (CEYLON) PLC,Unknown,Main,False,,01/JAN/1946,LK0020N00004,191196876402.0,257677731.0,1.0,CARG,Voting,CARG.CM
CBNK.N0000,CARGILLS BANK PLC,Financials,Main,False,,09/JAN/2024,LK0491N00007,8983607151.0,945642858.0,1.0,CBNK,Voting,CBNK.CM
CABO.N0000,CARGO BOAT DEVELOPMENT COMPANY PLC,Real Estate,Main,False,,01/JAN/1981,LK0021N00002,3967038900.0,18031995.0,1.0,CABO,Voting,CABO.CM
CARS.N0000,CARSON CUMBERBATCH PLC,Unknown,Main,False,,01/JAN/1967,LK0022N00000,123036401621.0,196386914.0,1.0,CARS,Voting,CARS.CM
CFIN.N0000,CENTRAL FINANCE COMPANY PLC,Financials,Main,False,,01/JAN/1969,LK0023N00008,59964739352.5,227354462.0,1.0,CFIN,Voting,CFIN.CM
CIND.N0000,CENTRAL INDUSTRIES PLC,Unknown,Main,False,,14/AUG/1990,LK0185N00005,6284701381.75,24195193.0,1.0,CIND,Voting,CIND.CM
CINS.X0000,CEYLINCO HOLDINGS PLC,Financials,Main,False,,21/APR/1988,LK0176X00003,11353629600.0,6414480.0,1.0,CINS,Non-Voting,CINS.CM
CINS.N0000,CEYLINCO HOLDINGS PLC,Financials,Main,False,,21/APR/1988,LK0176N00004,64005000000.0,20000000.0,1.0,CINS,Voting,CINS.CM
BREW.N0000,CEYLON BEVERAGE HOLDINGS PLC,Consumer Staples,Main,False,,01/JAN/1970,LK0026N00001,55177688610.0,20988090.0,1.0,BREW,Voting,BREW.CM
CCS.N0000,CEYLON COLD STORES PLC,Unknown,Main,False,,01/JAN/1970,LK0027N00009,106682400000.0,950400000.0,1.0,CCS,Voting,CCS.CM
GRAN.N0000,CEYLON GRAIN ELEVATORS PLC,Unknown,Main,False,,01/JAN/1984,LK0029N00005,27600000000.0,60000000.0,1.0,GRAN,Voting,GRAN.CM
GUAR.N0000,CEYLON GUARDIAN INVESTMENT TRUST PLC,Financials,Main,False,,01/JAN/1951,LK0030N00003,21455541588.0,80057991.0,1.0,GUAR,Voting,GUAR.CM
CHL.X0000,CEYLON HOSPITALS PLC,Health Care,Main,False,,14/NOV/2003,LK0338X00009,,10133765.0,1.0,CHL,Non-Voting,CHL.CM
CHL.N0000,CEYLON HOSPITALS PLC,Health Care,Main,False,,14/NOV/2003,LK0338N00000,,31762723.0,1.0,CHL,Voting,CHL.CM
