symbol,report_type,year,title,url
ABAN.N0000,Annual,2025.0,ANNUAL REPORT AS OF 31-03-2025,https://www.cse.lk/cmt/upload_report_file/642_1756460085368.pdf
ABAN.N0000,Annual,2024.0,Annual Report 2023/2024,https://www.cse.lk/cmt/upload_report_file/642_1725016991782.pdf
ABAN.N0000,Annual,2023.0,Annual Report 2022/23,https://www.cse.lk/cmt/upload_report_file/642_1693480831962.pdf
ABAN.N0000,Annual,2022.0,ANNUAL REPORT 2021/2022,https://www.cse.lk/cmt/upload_report_file/642_1661936913660.pdf
ABAN.N0000,Annual,2021.0,Annual Report 2020/2021,https://www.cse.lk/cmt/upload_report_file/642_1630324841413.pdf
ABAN.N0000,Annual,2020.0,Annual Report 2019/2020,https://www.cse.lk/cmt/upload_report_file/642_1598611245789.pdf
ABAN.N0000,Annual,2019.0,Annual Report 2018/2019,https://www.cse.lk/cmt/upload_report_file/642_1566810811231.R. 2018-19.pdf
ABAN.N0000,Annual,2018.0,Annual Report 2017/2018,https://www.cse.lk/upload_report_file/642_1535023338016.pdf
ABAN.N0000,Annual,2017.0,Annual Report 2016/2017,https://www.cse.lk/upload_report_file/642_1502793422.pdf
ABAN.N0000,Annual,2016.0,Annual Report 2015/2016,https://www.cse.lk/upload_report_file/642_1472640290991.pdf
ABAN.N0000,Annual,2015.0,Annual Report 2014/2015,https://www.cse.lk/upload_report_file/642_1439205876382.pdf
ABAN.N0000,Annual,2014.0,Annual Report 2013/2014,https://www.cse.lk/upload_report_file/642_1409311641215.pdf
ABAN.N0000,Annual,2013.0,Annual Report 2012/2013,https://www.cse.lk/upload_report_file/642_1378122133786.pdf
ABAN.N0000,Annual,2012.0,Annual Report 2011/2012,https://www.cse.lk/upload_report_file/642_1345719746.pdf
AEL.N0000,Annual,2025.0,Annual Report 2024/25 (Updated),https://www.cse.lk/cmt/upload_report_file/1141_1753438557109.pdf
AEL.N0000,Annual,2025.0,Annual Report 2024/25,https://www.cse.lk/cmt/upload_report_file/1141_1753269401292.pdf
AEL.N0000,Annual,2024.0,Annual Report 2023/24,https://www.cse.lk/cmt/upload_report_file/1141_1724759174228.pdf
AEL.N0000,Annual,2023.0,Annual Report 2022/23,https://www.cse.lk/cmt/upload_report_file/1141_1693318557043.pdf
AEL.N0000,Annual,2022.0,Annual Report for the Financial Year ended 31st March 2022,https://www.cse.lk/cmt/upload_report_file/1141_1662346653352.pdf
AEL.N0000,Annual,2021.0,Annual Report 2020/2021,https://www.cse.lk/cmt/upload_report_file/1141_1628762723577.pdf
AEL.N0000,Annual,2020.0,Annual Report as at 31.03.2020,https://www.cse.lk/cmt/upload_report_file/1141_1597316551116.pdf
AEL.N0000,Annual,2019.0,Annual Report as at 31.03.2019,https://www.cse.lk/upload_report_file/1141_1563445339847.pdf
AEL.N0000,Annual,2018.0,Annual Report 2017/2018,https://www.cse.lk/upload_report_file/1141_1535368365883.pdf
AEL.N0000,Annual,2017.0,Annual Report 2016/2017,https://www.cse.lk/upload_report_file/1141_1501846888.pdf
AEL.N0000,Annual,2016.0,Annual Report 2015/2016,https://www.cse.lk/upload_report_file/1141_1469099857.pdf
AEL.N0000,Annual,2015.0,Annual Report 2014/2015,https://www.cse.lk/upload_report_file/1141_1438858903.pdf
AEL.N0000,Annual,2014.0,Annual Report 2013/2014,https://www.cse.lk/upload_report_file/1141_1407238010157.pdf
AEL.N0000,Annual,2013.0,Annual Report 2012 / 2013,https://www.cse.lk/upload_report_file/1141_1376911071.pdf
AEL.N0000,Annual,2012.0,Annual Report 2011/2012,https://www.cse.lk/upload_report_file/1141_1345546204.pdf
ACL.N0000,Annual,2025.0,Annual Report 2024/25,https://www.cse.lk/cmt/upload_report_file/644_1756468586206.pdf
ACL.N0000,Annual,2024.0,Annual Report 2023/24,https://www.cse.lk/cmt/upload_report_file/644_1722913499503.pdf
ACL.N0000,Annual,2023.0,Annual Report for the year ended 31st March 2023,https://www.cse.lk/cmt/upload_report_file/644_1693299997744.pdf
ACL.N0000,Annual,2022.0,Annual Report 2021/22,https://www.cse.lk/cmt/upload_report_file/644_1661936544770.pdf
ACL.N0000,Annual,2021.0,Annual Report 2020/2021,https://www.cse.lk/cmt/upload_report_file/644_1633512134927.pdf
ACL.N0000,Annual,2020.0,Annual Report 31st March 2020,https://www.cse.lk/cmt/upload_report_file/644_1598348972850.pdf
ACL.N0000,Annual,2019.0,Annual Report 31st March 2019,https://www.cse.lk/upload_report_file/644_1564739378501.pdf
ACL.N0000,Annual,2018.0,Annual Report as at 31st March 2018,https://www.cse.lk/upload_report_file/644_1531300808572.pdf
ACL.N0000,Annual,2017.0,Annual Report 2016/2017,https://www.cse.lk/upload_report_file/644_1500434024071.pdf
ACL.N0000,Annual,2016.0,Annual Report 2015/2016,https://www.cse.lk/upload_report_file/644_1468324150013..16.pdf
ACL.N0000,Annual,2015.0,Annual Report 2014/2015,https://www.cse.lk/upload_report_file/644_1438775902.pdf
ACL.N0000,Annual,2014.0,Annual Report 2013/14,https://www.cse.lk/upload_report_file/644_1409565153395.pdf
ACL.N0000,Annual,2013.0,Annual Report 2012/13,https://www.cse.lk/upload_report_file/644_1377832453064.pdf
ACL.N0000,Annual,2012.0,Annual Report 2011/12,https://www.cse.lk/upload_report_file/644_1344600960688.pdf
APLA.N0000,Annual,2025.0,Annual Report for the year ended 31st March 2025,https://www.cse.lk/cmt/upload_report_file/643_1756350200465.pdf
APLA.N0000,Annual,2024.0,Annual Report for the year ended 31st March 2024,https://www.cse.lk/cmt/upload_report_file/643_1722851207975.pdf
APLA.N0000,Annual,2023.0,Annual Report for the year ended 31st March 2023,https://www.cse.lk/cmt/upload_report_file/643_1693299898314.pdf
APLA.N0000,Annual,2022.0,Annual Report for the year ended 31st March 2022,https://www.cse.lk/cmt/upload_report_file/643_1661936842790.pdf
APLA.N0000,Annual,2021.0,Annual Report 2020/21,https://www.cse.lk/cmt/upload_report_file/643_1633669291158.pdf
APLA.N0000,Annual,2020.0,Annual Report 2019/20,https://www.cse.lk/cmt/upload_report_file/643_1598351560341.pdf
APLA.N0000,Annual,2019.0,ACL PLASTICS PLC-Annual Report for YE 2018/19,https://www.cse.lk/upload_report_file/643_1564739339581.pdf
APLA.N0000,Annual,2018.0,Annual Report- ACL Plastics PLC- 2017/18,https://www.cse.lk/upload_report_file/643_1531214131136.pdf
APLA.N0000,Annual,2017.0,Annual Report 2016/17,https://www.cse.lk/upload_report_file/643_1500375807913.pdf
APLA.N0000,Annual,2016.0,Annual Report 2015/16,https://www.cse.lk/upload_report_file/643_1468324268957.pdf
APLA.N0000,Annual,2015.0,Annual Report 2014/2015,https://www.cse.lk/upload_report_file/643_1438776157.pdf
APLA.N0000,Annual,2014.0,Annual Report 2013/14,https://www.cse.lk/upload_report_file/643_1409564598030.pdf
APLA.N0000,Annual,2013.0,Annual Report 2012/13,https://www.cse.lk/upload_report_file/643_1377684262401.pdf
APLA.N0000,Annual,2012.0,Annual Report 2011/12,https://www.cse.lk/upload_report_file/643_1344591346129.pdf
