symbol,company,announcementCategory,dateOfAnnouncement,recordDate,xd,paymentDate,announcementId,amount_per_share,currency,amount_source,amount_parse_status
,HAYLEYS FIBRE PLC,CASH DIVIDEND,2019-12-31,,2020-01-12,2020-01-21,3298,,,text_available,not_found
,DIPPED PRODUCTS PLC,CASH DIVIDEND,2019-12-31,,2020-01-12,2020-01-21,3296,,,text_available,not_found
,HAYLEYS FABRIC PLC,CASH DIVIDEND,2019-12-31,,2020-01-12,2020-01-20,3297,,,text_available,not_found
,PEOPLE'S LEASING & FINANCE PLC,CASH DIVIDEND,2019-12-31,,2020-01-12,2020-01-22,3295,,,text_available,not_found
,CEYLON TOBACCO COMPANY PLC,CASH DIVIDEND,2019-12-31,,2020-01-12,2020-01-22,3287,,,text_available,not_found
,HATTON NATIONAL BANK PLC,CASH DIVIDEND,2019-12-18,,2019-12-29,2020-01-07,3202,,,text_available,not_found
,RICHARD PIERIS EXPORTS PLC,CASH DIVIDEND,2019-12-18,,2019-12-29,2020-01-05,3199,,,text_available,not_found
,HNB ASSURANCE PLC,CASH DIVIDEND,2019-12-06,,2019-12-17,2019-12-29,3085,,,text_available,not_found
,CENTRAL FINANCE COMPANY PLC,CASH DIVIDEND,2019-12-05,,2019-12-16,2019-12-19,3072,,,text_available,not_found
,C T HOLDINGS PLC,CASH DIVIDEND,2019-11-22,,,,2922,,,text_available,not_found
,ON'ALLY HOLDINGS PLC,CASH DIVIDEND,2019-11-21,,2019-12-01,2019-12-09,2918,,,text_available,not_found
,C T LAND DEVELOPMENT PLC,CASH DIVIDEND,2019-11-21,,2019-12-01,2019-12-11,2917,,,text_available,not_found
,CARGILLS (CEYLON) PLC,CASH DIVIDEND,2019-11-21,,2019-12-01,2019-12-11,2915,,,text_available,not_found
,COMMERCIAL DEVELOPMENT COMPANY PLC,CASH DIVIDEND,2019-11-20,,2019-11-28,2019-12-09,2912,,,text_available,not_found
,MELSTACORP PLC,CASH DIVIDEND,2019-11-19,,2019-11-27,2019-12-08,2901,,,text_available,not_found
,DISTILLERIES COMPANY OF SRI LANKA PLC,CASH DIVIDEND,2019-11-14,,,,2885,,,text_available,not_found
,DISTILLERIES COMPANY OF SRI LANKA PLC,CASH DIVIDEND,2019-11-14,,2019-11-24,2019-12-03,2881,,,text_available,not_found
,ACCESS ENGINEERING PLC,CASH DIVIDEND,2019-11-13,,2019-11-21,2019-12-02,2877,,,text_available,not_found
,CEYLON TOBACCO COMPANY PLC,CASH DIVIDEND,2019-11-08,,2019-11-20,2019-11-27,2843,,,text_available,not_found
,DILMAH CEYLON TEA COMPANY PLC,CASH DIVIDEND,2019-11-04,,2019-11-17,2019-11-24,2805,,,text_available,not_found
,JOHN KEELLS HOLDINGS PLC,CASH DIVIDEND,2019-11-01,,2019-11-13,2019-11-24,2756,,,text_available,not_found
,THE LANKA HOSPITALS CORPORATION PLC,CASH DIVIDEND,2019-10-28,,2019-11-05,2019-11-18,2712,,,text_available,not_found
,COMMERCIAL BANK OF CEYLON PLC,CASH DIVIDEND,2019-10-25,,2019-11-04,2019-11-17,2708,,,text_available,not_found
,CHEVRON LUBRICANTS LANKA PLC,CASH DIVIDEND,2019-10-24,,2019-11-03,2019-11-14,2693,,,text_available,not_found
,UNION CHEMICALS LANKA PLC,CASH DIVIDEND,2019-10-09,,2019-10-17,2019-10-28,2610,,,text_available,not_found
,BUKIT DARAH PLC,CASH DIVIDEND,2019-10-03,,2019-10-13,2019-10-21,2539,,,text_available,not_found
,HAYCARB PLC,CASH DIVIDEND,2019-09-30,,2019-10-08,2019-10-16,2445,,,text_available,not_found
,HAYLEYS FIBRE PLC,CASH DIVIDEND,2019-09-30,,2019-10-08,2019-10-16,2446,,,text_available,not_found
,PEOPLE'S INSURANCE PLC,CASH DIVIDEND,2019-09-30,,2019-10-08,2019-10-17,2419,,,text_available,not_found
,HAYLEYS FABRIC PLC,CASH DIVIDEND,2019-09-27,,2019-10-07,2019-10-15,2413,,,text_available,not_found
,DIPPED PRODUCTS PLC,CASH DIVIDEND,2019-09-27,,2019-10-07,2019-10-15,2406,,,text_available,not_found
,LOTUS HYDRO POWER PLC,CASH DIVIDEND,2019-09-26,,2019-10-06,2019-10-15,2391,,,text_available,not_found
,AMANA BANK PLC,CASH DIVIDEND,2019-09-23,,2019-10-01,2019-10-10,2331,,,text_available,not_found
,HUNTERS & COMPANY PLC,CASH DIVIDEND,2019-09-18,,2019-09-30,2019-10-08,2272,,,text_available,not_found
,PANASIAN POWER PLC,CASH DIVIDEND,2019-09-17,,2019-09-25,2019-10-06,2256,,,text_available,not_found
,MAHAWELI COCONUT PLANTATIONS LIMITED,SCRIP DIVIDEND (DATES),2019-09-12,,2019-09-26,2019-10-06,2222,,,text_available,not_found
,CARSON CUMBERBATCH PLC,CASH DIVIDEND,2019-09-03,,2019-09-11,2019-09-22,2062,,,text_available,not_found
,LAKE HOUSE PRINTERS AND PUBLISHERS PLC,CASH DIVIDEND,2019-09-03,,2019-09-30,2019-10-08,2054,,,text_available,not_found
,MERCANTILE INVESTMENTS AND FINANCE PLC,CASH DIVIDEND,2019-09-02,,2019-09-10,2019-09-17,2017,,,text_available,not_found
,SERENDIB LAND PLC,CASH DIVIDEND,2019-08-29,,2019-09-30,2019-10-08,1990,,,text_available,not_found
,E B CREASY & COMPANY PLC,CASH DIVIDEND,2019-08-29,,2019-09-30,2019-10-08,1989,,,text_available,not_found
,LAXAPANA BATTERIES PLC,CASH DIVIDEND,2019-08-27,,2019-09-30,2019-10-08,1965,,,text_available,not_found
,C M HOLDINGS PLC,CASH DIVIDEND,2019-08-26,,2019-09-25,2019-10-03,1961,,,text_available,not_found
,ABANS ELECTRICALS PLC,CASH DIVIDEND,2019-08-26,,2019-09-18,2019-09-26,1953,,,text_available,not_found
,RAIGAM WAYAMBA SALTERNS PLC,CASH DIVIDEND,2019-08-23,,2019-09-26,2019-10-06,1934,,,text_available,not_found
,LEE HEDGES PLC,CASH DIVIDEND,2019-08-22,,2019-09-18,2019-09-26,1923,,,text_available,not_found
,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,CASH DIVIDEND,2019-08-22,,2019-09-19,2019-09-29,1919,,,text_available,not_found
,ELPITIYA PLANTATIONS PLC,CASH DIVIDEND,2019-08-21,,2019-09-19,2019-09-29,1916,,,text_available,not_found
,THE NUWARA ELIYA HOTELS COMPANY PLC,CASH DIVIDEND,2019-08-20,,2019-08-28,2019-09-08,1907,,,text_available,not_found
,WATAWALA PLANTATIONS PLC,SCRIP DIVIDEND (DATES),2019-08-20,,,,1903,,,text_available,not_found
,RAMBODA FALLS PLC,CASH DIVIDEND,2019-08-19,,2019-08-27,2019-09-05,1891,,,text_available,not_found
,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CASH DIVIDEND,2019-08-19,,2019-09-19,2019-09-29,1890,,,text_available,not_found
,GESTETNER OF CEYLON PLC,CASH DIVIDEND,2019-08-16,,2019-09-30,2019-10-08,1871,,,text_available,not_found
,CHEVRON LUBRICANTS LANKA PLC,CASH DIVIDEND,2019-08-16,,2019-08-26,2019-09-04,1866,,,text_available,not_found
,INDUSTRIAL ASPHALTS (CEYLON) PLC,CASH DIVIDEND,2019-08-13,,2019-09-10,2019-09-19,1841,,,text_available,not_found
,COLOMBO INVESTMENT TRUST PLC,SCRIP DIVIDEND (DATES),2019-08-13,,2019-09-19,,1831,,,text_available,not_found
,COLOMBO FORT INVESTMENTS PLC,SCRIP DIVIDEND (DATES),2019-08-13,,2019-09-19,,1830,,,text_available,not_found
,LANKA ALUMINIUM INDUSTRIES PLC,CASH DIVIDEND,2019-08-09,,2019-09-11,2019-09-22,1820,,,text_available,not_found
,TANGERINE BEACH HOTELS PLC,CASH DIVIDEND,2019-08-09,,2019-08-21,2019-09-01,1809,,,text_available,not_found
,ASIA SIYAKA COMMODITIES PLC,CASH DIVIDEND,2019-08-08,,2019-08-20,2019-08-29,1803,,,text_available,not_found
,CEYLON TOBACCO COMPANY PLC,CASH DIVIDEND,2019-08-08,,2019-08-20,2019-08-28,1799,,,text_available,not_found
,ROYAL PALMS BEACH HOTELS PLC,CASH DIVIDEND,2019-08-07,,2019-08-19,2019-08-28,1776,,,text_available,not_found
,CEYLON BEVERAGE HOLDINGS PLC,CASH DIVIDEND,2019-08-06,,2019-08-18,2019-08-26,1766,,,text_available,not_found
,LANKA MILK FOODS (CWE) PLC,CASH DIVIDEND,2019-08-06,,2019-09-01,2019-09-08,1761,,,text_available,not_found
,LANKA VENTURES PLC,CASH DIVIDEND,2019-08-05,,2019-09-29,2019-10-07,1744,,,text_available,not_found
,FIRST CAPITAL HOLDINGS PLC,CASH DIVIDEND,2019-08-02,,2019-08-14,2019-08-25,1702,,,text_available,not_found
,CONVENIENCE  FOODS (LANKA )PLC,CASH DIVIDEND,2019-08-01,,2019-09-16,2019-09-24,1686,,,text_available,not_found
,SOFTLOGIC HOLDINGS PLC,CASH DIVIDEND,2019-07-30,,2019-08-07,2019-08-20,1639,,,text_available,not_found
,ACL CABLES PLC,CASH DIVIDEND,2019-07-30,,2019-08-07,2019-08-20,1637,,,text_available,not_found
,DILMAH CEYLON TEA COMPANY PLC,CASH DIVIDEND,2019-07-30,,2019-09-08,2019-09-17,1628,,,text_available,not_found
,SWADESHI INDUSTRIAL WORKS PLC,CASH DIVIDEND,2019-07-29,,2019-09-08,2019-09-17,1620,,,text_available,not_found
,B P P L HOLDINGS PLC,CASH DIVIDEND,2019-07-29,,2019-08-06,2019-08-18,1605,,,text_available,not_found
,MAHAWELI COCONUT PLANTATIONS LIMITED,CASH DIVIDEND,2019-07-25,,2019-09-26,2019-10-06,1556,,,text_available,not_found
,VIDULLANKA PLC,CASH DIVIDEND,2019-07-25,,,,1558,,,text_available,not_found
,VIDULLANKA PLC,CASH DIVIDEND,2019-07-25,,2019-08-04,2019-08-14,1551,,,text_available,not_found
,KELANI CABLES PLC,CASH DIVIDEND,2019-07-24,,2019-08-01,2019-08-14,1539,,,text_available,not_found
,COMMERCIAL CREDIT AND FINANCE PLC,CASH DIVIDEND,2019-07-23,,2019-08-25,2019-09-02,1512,,,text_available,not_found
,HARISCHANDRA MILLS PLC,CASH DIVIDEND,2019-07-23,,2019-09-22,2019-09-30,1509,,,text_available,not_found
,KELANI TYRES PLC,CASH DIVIDEND,2019-07-19,,2019-07-29,2019-08-07,1480,,,text_available,not_found
,RENUKA HOLDINGS PLC,CASH DIVIDEND,2019-07-19,,2019-09-18,2019-09-25,1478,,,text_available,not_found
,RENUKA CAPITAL PLC,CASH DIVIDEND,2019-07-19,,2019-09-18,2019-09-25,1477,,,text_available,not_found
,RENUKA FOODS PLC,CASH DIVIDEND,2019-07-19,,2019-09-18,2019-09-25,1476,,,text_available,not_found
,RENUKA AGRI FOODS PLC,CASH DIVIDEND,2019-07-19,,2019-09-18,2019-09-25,1469,,,text_available,not_found
,SWADESHI INDUSTRIAL WORKS PLC,CASH DIVIDEND,2019-07-18,,2019-08-25,2019-09-02,1458,,,text_available,not_found
,TOKYO CEMENT COMPANY (LANKA) PLC,CASH DIVIDEND,2019-07-16,,2019-08-18,2019-08-26,1438,,,text_available,not_found
,LANKA ASHOK LEYLAND PLC,CASH DIVIDEND,2019-07-15,,2019-09-08,2019-09-17,1433,,,text_available,not_found
,TEEJAY LANKA PLC,CASH DIVIDEND,2019-07-15,,2019-08-19,2019-08-27,1431,,,text_available,not_found
,ON'ALLY HOLDINGS PLC,CASH DIVIDEND,2019-07-10,,2019-07-22,2019-07-30,1406,,,text_available,not_found
,CENTRAL INDUSTRIES PLC,CASH DIVIDEND,2019-07-09,,2019-07-31,2019-08-08,1392,,,text_available,not_found
