date,sp500,nikkei225,hangseng
2000-01-03,1455.22,,17369.6
2000-01-04,1399.42,19002.86,17072.8
2000-01-05,1402.11,18542.55,15846.7
2000-01-06,1403.45,18168.27,15153.2
2000-01-07,1441.47,18193.41,15405.6
2000-01-10,1457.6,,15848.2
2000-01-11,1438.56,18850.92,15862.1
2000-01-12,1432.25,18677.42,15714.2
2000-01-13,1449.68,18833.29,15634.0
2000-01-14,1465.15,18956.55,15542.2
2000-01-18,1455.14,19196.57,15789.2
2000-01-19,1455.9,18897.75,15275.3
2000-01-20,1445.57,19008.01,15215.3
2000-01-21,1441.36,18878.09,15108.4
2000-01-24,1401.53,19056.71,15167.5
2000-01-25,1410.03,18895.53,15103.0
2000-01-26,1404.09,19111.19,15427.7
2000-01-27,1398.56,19209.72,15917.8
2000-01-28,1360.16,19434.78,16185.9
2000-01-31,1394.46,19539.7,15532.3
2000-02-01,1409.28,19423.38,15653.9
2000-02-02,1409.12,19578.91,15789.8
2000-02-03,1424.97,19786.42,15968.1
2000-02-04,1424.37,19763.13,
2000-02-07,1424.24,19945.43,
2000-02-08,1441.72,19868.88,16228.7
2000-02-09,1411.71,20007.77,16819.5
2000-02-10,1416.83,19710.02,16845.2
2000-02-11,1387.12,,17380.3
2000-02-14,1389.94,19556.46,17189.0
2000-02-15,1402.05,19367.83,16688.2
2000-02-16,1387.67,19599.18,17043.4
2000-02-17,1388.26,19791.4,16981.2
2000-02-18,1346.09,19789.03,16599.2
2000-02-22,1352.17,19390.58,16255.2
2000-02-23,1360.69,19519.55,16376.8
2000-02-24,1353.43,19571.44,17058.7
2000-02-25,1333.36,19817.88,17201.0
2000-02-28,1348.05,19720.1,16984.4
2000-02-29,1366.42,19959.52,17169.4
2000-03-01,1379.19,20081.67,16843.6
2000-03-02,1381.76,20065.11,16936.8
2000-03-03,1409.17,19927.54,17285.2
2000-03-06,1391.28,19796.35,17758.8
2000-03-07,1355.62,19942.75,17865.4
2000-03-08,1366.7,19766.8,17951.4
2000-03-09,1401.69,19662.33,17637.0
2000-03-10,1395.07,19750.4,17831.9
2000-03-13,1383.62,19189.93,17096.7
2000-03-14,1359.15,19141.84,16929.2
2000-03-15,1392.14,19078.6,16747.2
2000-03-16,1458.47,19253.23,16359.0
2000-03-17,1464.47,19566.32,17083.0
2000-03-20,1456.63,,17234.5
2000-03-21,1493.87,19602.36,17200.0
2000-03-22,1500.64,19733.59,17547.0
2000-03-23,1527.35,19704.6,17710.6
2000-03-24,1527.46,19958.08,17784.6
2000-03-27,1523.86,20281.03,18292.9
2000-03-28,1507.73,20374.34,18301.7
